,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Dolphins,Uwe von Schamann 21 yard field goal,0,3
1,1.0,Jets,Scott Dierking 1 yard rush (Pat Leahy kick),7,3
2,1.0,Dolphins,Duriel Harris 16 yard pass from David Woodley (Uwe von Schamann kick),7,10
3,2.0,Jets,Scott Dierking 1 yard rush (Pat Leahy kick),14,10
4,3.0,Jets,Darrol Ray 71 yard interception return (Pat Leahy kick),21,10
5,4.0,Dolphins,David Woodley 1 yard rush (Uwe von Schamann kick),21,17
6,4.0,Jets,Pat Leahy 35 yard field goal,24,17
