,Quarter,Tm,Detail,WAS,PIT
0,1.0,Steelers,Armand Niccolai 48 yard field goal,0,3
1,1.0,Redskins,Jimmy Johnston 64 yard interception return (Bob Masterson kick),7,3
2,1.0,Redskins,Bob Seymour 1 yard rush (Bob Masterson kick),14,3
3,2.0,Redskins,Wayne Millner 30 yard pass from Frank Filchock (Bo Russell kick),21,3
4,3.0,Redskins,Jimmy Johnston 1 yard rush (Bob Masterson kick),28,3
5,3.0,Redskins,Jimmy Johnston 2 yard rush,34,3
6,3.0,Steelers,Merl Condit unknown yard pass from Tommy Thompson (Armand Niccolai kick),34,10
7,4.0,Redskins,Bob Seymour 10 yard rush,40,10
