,Quarter,Time,Tm,Detail,NYG,TAM
0,2.0,11:21,Buccaneers,Thomas Jones 1 yard rush (Martin Gramatica kick),0,7
1,2.0,6:37,Giants,Matt Bryant 30 yard field goal,3,7
2,2.0,3:37,Buccaneers,Charles Lee 53 yard pass from Brad Johnson (Martin Gramatica kick),3,14
3,3.0,9:22,Giants,Matt Bryant 30 yard field goal,6,14
4,3.0,3:45,Buccaneers,Martin Gramatica 21 yard field goal,6,17
5,4.0,12:42,Giants,Frank Walker 56 yard interception return (Matt Bryant kick),13,17
6,4.0,1:57,Buccaneers,"Safety,",13,19
