,Quarter,Tm,Detail,BUF,DAL
0,2.0,Cowboys,Preston Pearson 2 yard rush (Efren Herrera kick),0,7
1,2.0,Bills,Reuben Gant 27 yard pass from Gary Marangi (George Jakowenko kick),7,7
2,2.0,Cowboys,Drew Pearson 21 yard pass from Roger Staubach (Efren Herrera kick),7,14
3,4.0,Cowboys,Efren Herrera 43 yard field goal,7,17
4,4.0,Bills,George Jakowenko 22 yard field goal,10,17
