,Quarter,Tm,Detail,HOU,BUF
0,1.0,Oilers,Florian Kempf 31 yard field goal,3,0
1,1.0,Bills,Joe Cribbs 1 yard rush (Joe Danelo kick),3,7
2,2.0,Bills,Jerry Butler 7 yard pass from Joe Ferguson,3,13
3,2.0,Oilers,Florian Kempf 26 yard field goal,6,13
4,3.0,Oilers,Earl Campbell 1 yard rush (Florian Kempf kick),13,13
5,3.0,Bills,Joe Danelo 48 yard field goal,13,16
6,4.0,Bills,Frank Lewis 19 yard pass from Joe Ferguson (Joe Danelo kick),13,23
7,4.0,Bills,David Kilson 87 yard defensive fumble return (Joe Danelo kick),13,30
