,Quarter,Tm,Detail,SDG,DEN
0,1.0,Chargers,John Carney 41 yard field goal,3,0
1,1.0,Broncos,David Treadwell 34 yard field goal,3,3
2,2.0,Chargers,John Carney 43 yard field goal,6,3
3,2.0,Broncos,David Treadwell 23 yard field goal,6,6
4,3.0,Broncos,Gaston Green 5 yard rush (David Treadwell kick),6,13
5,3.0,Chargers,John Carney 43 yard field goal,9,13
6,4.0,Chargers,John Carney 36 yard field goal,12,13
7,4.0,Broncos,Gaston Green 63 yard rush (David Treadwell kick),12,20
8,4.0,Chargers,Marion Butts 27 yard rush (John Carney kick),19,20
9,4.0,Broncos,Gaston Green 20 yard rush (David Treadwell kick),19,27
