,Quarter,Tm,Detail,TAM,GNB
0,2.0,Buccaneers,Donald Igwebuike 48 yard field goal,3,0
1,3.0,Buccaneers,Jeff Smith 1 yard rush (Donald Igwebuike kick),10,0
2,3.0,Buccaneers,Gerald Carter 5 yard pass from Steve DeBerg (Donald Igwebuike kick),17,0
3,3.0,Buccaneers,Donald Igwebuike 36 yard field goal,20,0
4,3.0,Packers,Al Del Greco 36 yard field goal,20,3
5,4.0,Buccaneers,Donald Igwebuike 46 yard field goal,23,3
6,4.0,Packers,Frankie Neal 4 yard pass from Randy Wright (Al Del Greco kick),23,10
7,4.0,Packers,Brent Fullwood 1 yard rush (Al Del Greco kick),23,17
