,Quarter,Time,Tm,Detail,CLE,PIT
0,1.0,10:43,Steelers,Darrius Heyward-Bey 29 yard rush (Chris Boswell kick),0,7
1,2.0,13:26,Steelers,JuJu Smith-Schuster 20 yard pass from Landry Jones (Chris Boswell kick),0,14
2,2.0,11:46,Browns,Duke Johnson 2 yard rush (Zane Gonzalez kick),7,14
3,2.0,7:59,Steelers,Stevan Ridley 4 yard rush (Chris Boswell kick),7,21
4,2.0,7:13,Browns,Rashard Higgins 56 yard pass from DeShone Kizer (Zane Gonzalez kick),14,21
5,3.0,10:54,Browns,Rashard Higgins 5 yard pass from DeShone Kizer (Zane Gonzalez kick),21,21
6,3.0,10:42,Steelers,JuJu Smith-Schuster 96 yard kickoff return (Chris Boswell kick),21,28
7,3.0,2:04,Browns,Zane Gonzalez 51 yard field goal,24,28
