,Quarter,Time,Tm,Detail,WAS,PHI
0,1.0,9:46,Eagles,Caleb Sturgis 45 yard field goal,0,3
1,2.0,10:29,Eagles,Caleb Sturgis 36 yard field goal,0,6
2,2.0,4:11,Redskins,Robert Kelley 22 yard rush (Dustin Hopkins kick),7,6
3,2.0,0:28,Eagles,Darren Sproles 4 yard pass from Carson Wentz (Caleb Sturgis kick),7,13
4,3.0,9:14,Redskins,DeSean Jackson 80 yard pass from Kirk Cousins (Dustin Hopkins kick),14,13
5,3.0,0:07,Redskins,Pierre Garcon 15 yard pass from Kirk Cousins (Dustin Hopkins kick),21,13
6,4.0,13:11,Eagles,Leodis McKelvin 29 yard interception return (pass failed),21,19
7,4.0,4:59,Eagles,Caleb Sturgis 41 yard field goal,21,22
8,4.0,1:53,Redskins,Chris Thompson 25 yard rush (pass failed),27,22
