,Quarter,Tm,Detail,DET,CRD
0,1,Lions,Ed Klewicki fumble recovery in end zone (Regis Monahan kick),7,0
1,2,Lions,Regis Monahan 14 yard field goal,10,0
2,3,Lions,Bill Shepherd 45 yard interception return,16,0
3,4,Cardinals,Rock Reed 45 yard touchdown on a lateral (Bill Smith kick),16,7
