,Quarter,Tm,Detail,PHI,GNB
0,1.0,Packers,Cecil Isbell 39 yard rush (Don Hutson kick),0,7
1,1.0,Packers,Carl Mulleneaux 6 yard pass from Cecil Isbell (Don Hutson kick),0,14
2,1.0,Packers,Carl Mulleneaux unknown yard pass from Arnie Herber (Tiny Engebretsen kick),0,21
3,2.0,Eagles,Dick Riffle 8 yard pass from Davey O'Brien,6,21
4,3.0,Packers,Clarke Hinkle 45 yard field goal,6,24
5,3.0,Packers,Clarke Hinkle 45 yard field goal,6,27
6,4.0,Eagles,Don Looney 31 yard interception return (John Cole kick),13,27
7,4.0,Eagles,Don Looney unknown yard pass from Davey O'Brien (John Cole kick),20,27
