,Quarter,Time,Tm,Detail,CLE,CAR
0,1.0,2:47,Panthers,Graham Gano 23 yard field goal,0,3
1,2.0,13:25,Browns,Garrett Hartley 43 yard field goal,3,3
2,2.0,1:55,Panthers,Cam Newton 2 yard rush (Graham Gano kick),3,10
3,3.0,3:14,Browns,Garrett Hartley 31 yard field goal,6,10
4,4.0,9:59,Browns,Jordan Cameron 81 yard pass from Brian Hoyer (Garrett Hartley kick),13,10
5,4.0,7:07,Panthers,Jonathan Stewart 9 yard pass from Cam Newton (Graham Gano kick),13,17
