,Quarter,Time,Tm,Detail,PHI,SFO
0,2.0,14:51,Eagles,David Akers 20 yard field goal,3,0
1,2.0,1:44,49ers,Jose Cortez 21 yard field goal,3,3
2,3.0,0:35,49ers,Jose Cortez 32 yard field goal,3,6
3,4.0,6:52,49ers,Terrell Owens 32 yard pass from Jeff Garcia (Jose Cortez kick),3,13
