,Quarter,Tm,Detail,PIT,STL
0,2.0,Steelers,Don Shy 4 yard rush (Mike Clark kick),7,0
1,2.0,Cardinals,Johnny Roland 2 yard rush (Jim Bakken kick),7,7
2,4.0,Cardinals,Jackie Smith 6 yard pass from Jim Hart (Jim Bakken kick),7,14
3,4.0,Steelers,Roy Jefferson 6 yard pass from Bill Nelsen (Mike Clark kick),14,14
