,Quarter,Tm,Detail,DAY,FRN
0,1,Yellow Jackets,Wally Diehl 6 yard rush (Ken Mercer kick),0,7
1,2,Yellow Jackets,Ed Halicki 30 yard pass from Wild Bill Kelly (Ed Halicki kick),0,14
2,3,Triangles,Al Graham 30 yard fumble return (Pat Duffy kick),7,14
