,Quarter,Time,Tm,Detail,IND,BUF
0,1.0,7:19,Bills,Steve Christie 19 yard field goal,0,3
1,2.0,14:12,Bills,Steve Christie 30 yard field goal,0,6
2,2.0,8:54,Bills,Steve Christie 27 yard field goal,0,9
3,2.0,4:09,Colts,Marvin Harrison 14 yard pass from Peyton Manning (Mike Vanderjagt kick),7,9
4,4.0,14:10,Colts,Terrence Wilkins 10 yard pass from Peyton Manning (Edgerrin James run),15,9
5,4.0,1:08,Bills,Eric Moulds 40 yard pass from Rob Johnson (Steve Christie kick),15,16
6,4.0,0:00,Colts,Mike Vanderjagt 45 yard field goal,18,16
