,Quarter,Tm,Detail,KAN,SEA
0,1.0,Chiefs,Nick Lowery 42 yard field goal,3,0
1,2.0,Seahawks,Larry Brinson 22 yard rush (Efren Herrera kick),3,7
2,2.0,Seahawks,Efren Herrera 39 yard field goal,3,10
3,2.0,Seahawks,Dan Doornink 4 yard pass from Jim Zorn (Efren Herrera kick),3,17
4,3.0,Chiefs,Tony Reed 12 yard pass from Steve Fuller (Nick Lowery kick),10,17
5,3.0,Seahawks,Efren Herrera 31 yard field goal,10,20
6,3.0,Seahawks,Efren Herrera 33 yard field goal,10,23
7,4.0,Chiefs,Henry Marshall 11 yard pass from Steve Fuller (Nick Lowery kick),17,23
8,4.0,Chiefs,Frank Manumaleuga 22 yard interception return (Nick Lowery kick),24,23
9,4.0,Seahawks,Jim Jodat 2 yard rush (Efren Herrera kick),24,30
10,4.0,Chiefs,Arnold Morgado 1 yard rush (Nick Lowery kick),31,30
