,Quarter,Tm,Detail,MIN,DET
0,1.0,Vikings,Joey Browner 39 yard interception return (Chuck Nelson kick),7,0
1,1.0,Vikings,Chuck Nelson 24 yard field goal,10,0
2,3.0,Lions,Jimmie Giles 10 yard pass from Eric Hipple (Eddie Murray kick),10,7
3,3.0,Vikings,Anthony Carter 11 yard pass from Tommy Kramer (Chuck Nelson kick),17,7
4,3.0,Lions,Eddie Murray 35 yard field goal,17,10
5,4.0,Vikings,Allen Rice 4 yard rush (Chuck Nelson kick),24,10
