,Quarter,Tm,Detail,CLE,TAM
0,1.0,Browns,Cleo Miller 2 yard rush (Don Cockroft kick),7,0
1,2.0,Buccaneers,Essex Johnson 12 yard pass from Steve Spurrier (Dave Green kick),7,7
2,3.0,Browns,Paul Warfield 15 yard pass from Brian Sipe (Don Cockroft kick),14,7
3,4.0,Browns,Joe Jones defensive fumble recovery in end zone (Don Cockroft kick),21,7
4,4.0,Browns,Don Cockroft 32 yard field goal,24,7
