,Quarter,Time,Tm,Detail,JAX,BAL
0,2.0,14:55,Ravens,Matt Stover 49 yard field goal,0,3
1,2.0,11:31,Jaguars,Mike Hollis 40 yard field goal,3,3
2,3.0,10:17,Ravens,Matt Stover 28 yard field goal,3,6
3,3.0,1:20,Jaguars,Jimmy Smith 35 yard pass from Mark Brunell (Mike Hollis kick),10,6
4,4.0,14:53,Jaguars,Stacey Mack 11 yard pass from Mark Brunell (Mike Hollis kick),17,6
5,4.0,9:48,Ravens,Jason Brookins 2 yard rush (pass failed),17,12
6,4.0,4:07,Ravens,Qadry Ismail 2 yard pass from Randall Cunningham (pass failed),17,18
