,Quarter,Time,Tm,Detail,PHI,CAR
0,1.0,9:24,Panthers,Mike Tolbert 2 yard rush (Graham Gano kick),0,7
1,2.0,5:42,Eagles,Caleb Sturgis 52 yard field goal,3,7
2,2.0,3:33,Panthers,Cam Newton 2 yard rush (Graham Gano kick),3,14
3,2.0,0:04,Eagles,Caleb Sturgis 29 yard field goal,6,14
4,3.0,11:50,Panthers,Mike Tolbert 2 yard pass from Cam Newton (Graham Gano kick),6,21
5,3.0,9:32,Eagles,Ryan Mathews 63 yard rush (Caleb Sturgis kick),13,21
6,3.0,5:48,Eagles,Caleb Sturgis 24 yard field goal,16,21
7,4.0,8:59,Panthers,Graham Gano 35 yard field goal,16,24
8,4.0,0:18,Panthers,Graham Gano 29 yard field goal,16,27
