,Quarter,Tm,Detail,MIL,RII
0,1,Independents,Herb Sies 35 yard field goal,0,3
1,3,Badgers,Ben Winkelman 3 yard rush (Ben Winkelman kick),7,3
2,4,Badgers,Hal Erickson 1 yard rush (Ben Winkelman kick),14,3
