,Quarter,Time,Tm,Detail,PIT,OAK
0,1.0,10:44,Raiders,Doug Martin 1 yard rush (Daniel Carlson kick),0,7
1,2.0,12:18,Steelers,Stevan Ridley 2 yard rush (Chris Boswell kick),7,7
2,2.0,8:04,Raiders,Daniel Carlson 44 yard field goal,7,10
3,2.0,0:10,Steelers,JuJu Smith-Schuster 1 yard pass from Ben Roethlisberger (Chris Boswell kick),14,10
4,4.0,5:20,Raiders,Lee Smith 3 yard pass from Derek Carr (Daniel Carlson kick),14,17
5,4.0,2:55,Steelers,JuJu Smith-Schuster 1 yard pass from Ben Roethlisberger (Chris Boswell kick),21,17
6,4.0,0:21,Raiders,Derek Carrier 6 yard pass from Derek Carr (Daniel Carlson kick),21,24
