,Quarter,Tm,Detail,BOS,GNB
0,1.0,Packers,Al Rose 8 yard pass from Arnie Herber (Roger Grove kick),0,7
1,1.0,Redskins,Ike Frankian 33 yard pass from Ed Westfall (Jim Musick kick),7,7
