,Quarter,Time,Tm,Detail,RAI,SEA
0,2.0,,Raiders,Harvey Williams 5 yard rush (Jeff Jaeger kick),7,0
1,2.0,,Seahawks,John Kasay 41 yard field goal,7,3
2,2.0,,Raiders,Jeff Jaeger 24 yard field goal,10,3
3,2.0,,Seahawks,Chris Warren 33 yard rush (John Kasay kick),10,10
4,3.0,,Seahawks,John Kasay 50 yard field goal,10,13
5,4.0,,Seahawks,John Kasay 33 yard field goal,10,16
6,4.0,,Raiders,Tim Brown 77 yard pass from Jeff Hostetler (Jeff Jaeger kick),17,16
