,Quarter,Tm,Detail,TAM,DET
0,1,Buccaneers,Kevin House 25 yard pass from Steve DeBerg (Obed Ariri kick),7,0
1,2,Lions,Gary Danielson 18 yard rush (Eddie Murray kick),7,7
2,OT,Lions,Leonard Thompson 37 yard pass from Gary Danielson,7,13
