,Quarter,Time,Tm,Detail,BAL,PHI
0,1.0,12:16,Eagles,David Akers 20 yard field goal,0,3
1,1.0,2:18,Ravens,Matt Stover 44 yard field goal,3,3
2,2.0,4:52,Eagles,David Akers 41 yard field goal,3,6
3,4.0,14:56,Eagles,David Akers 43 yard field goal,3,9
4,4.0,9:12,Eagles,Terrell Owens 11 yard pass from Donovan McNabb (pass failed),3,15
5,4.0,5:52,Ravens,Daniel Wilcox 7 yard pass from Kyle Boller (Matt Stover kick),10,15
