,Quarter,Tm,Detail,CLE,SEA
0,1.0,Browns,Mike Pruitt 2 yard rush (Don Cockroft kick),7,0
1,2.0,Seahawks,Efren Herrera 29 yard field goal,7,3
2,2.0,Browns,Keith Wright 39 yard pass from Brian Sipe,13,3
3,3.0,Browns,Charles White 3 yard rush (Don Cockroft kick),20,3
4,4.0,Browns,Mike Pruitt 22 yard rush (Don Cockroft kick),27,3
