,Quarter,Tm,Detail,GNB,BAL
0,1.0,Packers,Mike Mercer 14 yard field goal,3,0
1,1.0,Colts,Tom Mitchell 51 yard pass from Johnny Unitas (Lou Michaels kick),3,7
2,1.0,Packers,Mike Mercer 48 yard field goal,6,7
3,2.0,Colts,Ray Perkins 3 yard pass from Johnny Unitas (Lou Michaels kick),6,14
