,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,Tony Franklin 32 yard field goal,3,0
1,2.0,Bills,Greg Bell 16 yard pass from Vince Ferragamo (Scott Norwood kick),3,7
2,2.0,Patriots,Tony Collins 5 yard pass from Craig James (Tony Franklin kick),10,7
3,3.0,Patriots,Irving Fryar 85 yard punt return (Tony Franklin kick),17,7
4,4.0,Bills,Andre Reed 18 yard pass from Vince Ferragamo (Scott Norwood kick),17,14
