,Quarter,Time,Tm,Detail,BAL,PIT
0,1.0,6:59,Steelers,Le'Veon Bell 20 yard pass from Ben Roethlisberger (Chris Boswell kick),0,7
1,2.0,13:11,Steelers,Le'Veon Bell 1 yard rush (Chris Boswell kick),0,14
2,2.0,9:07,Ravens,Chris Moore 30 yard pass from Joe Flacco (Justin Tucker kick),7,14
3,2.0,4:14,Steelers,Chris Boswell 52 yard field goal,7,17
4,2.0,1:53,Ravens,Alex Collins 18 yard rush (Justin Tucker kick),14,17
5,2.0,0:01,Steelers,Chris Boswell 43 yard field goal,14,20
6,3.0,10:06,Ravens,Justin Tucker 47 yard field goal,17,20
7,3.0,5:20,Ravens,Javorius Allen 1 yard rush (Justin Tucker kick),24,20
8,3.0,2:43,Ravens,Patrick Ricard 6 yard pass from Joe Flacco (Justin Tucker kick),31,20
9,4.0,12:16,Steelers,Chris Boswell 24 yard field goal,31,23
10,4.0,9:15,Steelers,Roosevelt Nix 1 yard pass from Ben Roethlisberger (run failed),31,29
11,4.0,6:44,Ravens,Javorius Allen 9 yard rush (Justin Tucker kick),38,29
12,4.0,3:29,Steelers,Le'Veon Bell 11 yard rush (Chris Boswell kick),38,36
13,4.0,0:42,Steelers,Chris Boswell 46 yard field goal,38,39
