,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Anthony Allen 34 yard pass from Ed Rubbert (Brendan Toibin kick),0,7
1,2.0,Cardinals,Earl Ferrell 1 yard rush (Jason Staurovsky kick),7,7
2,2.0,Redskins,Anthony Allen 88 yard pass from Ed Rubbert (Brendan Toibin kick),7,14
3,3.0,Cardinals,Earl Ferrell 1 yard rush (Jason Staurovsky kick),14,14
4,3.0,Redskins,Lionel Vital 8 yard rush (Brendan Toibin kick),14,21
5,3.0,Redskins,Anthony Allen 48 yard pass from Ed Rubbert (Brendan Toibin kick),14,28
6,4.0,Cardinals,Pete Noga 60 yard interception return (Jason Staurovsky kick),21,28
