,Quarter,Time,Tm,Detail,BUF,SDG
0,1.0,,Chargers,John Carney 48 yard field goal,0,3
1,3.0,,Chargers,Bryan Still 6 yard pass from Ryan Leaf (John Carney kick),0,10
2,3.0,,Bills,Andre Reed 43 yard pass from Doug Flutie (Steve Christie kick),7,10
3,3.0,,Chargers,John Carney 47 yard field goal,7,13
4,4.0,,Bills,Andre Reed 5 yard pass from Doug Flutie (Steve Christie kick),14,13
5,4.0,,Chargers,John Carney 54 yard field goal,14,16
