,Quarter,Tm,Detail,CLE,BUF
0,1.0,Browns,Kevin Mack 1 yard rush (Mark Moseley kick),7,0
1,2.0,Bills,Scott Norwood 22 yard field goal,7,3
2,2.0,Browns,Kevin Mack 1 yard rush (Mark Moseley kick),14,3
3,3.0,Bills,Chris Burkett 75 yard pass from Jim Kelly (Scott Norwood kick),14,10
4,3.0,Browns,Brian Brennan 11 yard pass from Bernie Kosar (Mark Moseley kick),21,10
5,4.0,Bills,Jimmy Teal 4 yard pass from Jim Kelly (Scott Norwood kick),21,17
