,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Bob Klein 19 yard pass from Roman Gabriel (David Ray kick),0,7
1,2.0,Packers,Lou Michaels 11 yard field goal,3,7
2,2.0,Packers,Lou Michaels 32 yard field goal,6,7
3,2.0,Rams,David Ray 17 yard field goal,6,10
4,2.0,Rams,David Ray 46 yard field goal,6,13
5,3.0,Rams,Jack Snow 18 yard pass from Roman Gabriel (David Ray kick),6,20
6,4.0,Rams,David Ray 27 yard field goal,6,23
7,4.0,Rams,Lance Rentzel 8 yard pass from Roman Gabriel (David Ray kick),6,30
8,4.0,Packers,John Spilis 32 yard pass from Zeke Bratkowski (Lou Michaels kick),13,30
