,Quarter,Tm,Detail,CRD,PHI
0,1.0,Eagles,Dick Bielski 24 yard field goal,0,3
1,2.0,Cardinals,Dave Mann 25 yard field goal,3,3
2,2.0,Eagles,Dick Bielski 3 yard rush (Dick Bielski kick),3,10
3,3.0,Eagles,Pete Pihos 14 yard pass from Adrian Burk (Dick Bielski kick),3,17
4,3.0,Eagles,Dick Bielski 13 yard field goal,3,20
5,4.0,Eagles,Adrian Burk 14 yard rush (Dick Bielski kick),3,27
