,Quarter,Time,Tm,Detail,CAR,PIT
0,1.0,3:47,Steelers,Shaun Suisham 26 yard field goal,0,3
1,2.0,10:16,Steelers,Mike Wallace 43 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,10
2,2.0,1:54,Steelers,Rashard Mendenhall 1 yard rush (Shaun Suisham kick),0,17
3,2.0,0:39,Steelers,Shaun Suisham 29 yard field goal,0,20
4,3.0,5:05,Steelers,Ben Roethlisberger 1 yard rush (Shaun Suisham kick),0,27
5,4.0,8:29,Panthers,John Kasay 27 yard field goal,3,27
