,Quarter,Tm,Detail,CHI,GNB
0,1.0,Bears,Johnny Musso 3 yard rush (run failed),6,0
1,1.0,Bears,Walter Payton 6 yard rush (Bob Thomas kick),13,0
2,2.0,Bears,Bob Thomas 47 yard field goal,16,0
3,4.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),23,0
4,4.0,Bears,Bob Thomas 20 yard field goal,26,0
