,Quarter,Time,Tm,Detail,BAL,ATL
0,2,7:05,Ravens,Matt Stover 38 yard field goal,3,0
1,2,1:18,Falcons,Morten Andersen 41 yard field goal,3,3
2,2,0:00,Falcons,Morten Andersen 35 yard field goal,3,6
3,3,3:32,Falcons,Jammi German 30 yard pass from Danny Kanell (Morten Andersen kick),3,13
4,3,1:33,Ravens,Patrick Johnson 52 yard pass from Stoney Case (Matt Stover kick),10,13
5,4,10:14,Ravens,Matt Stover 26 yard field goal,13,13
6,OT,0:00,Ravens,Justin Armour 54 yard pass from Stoney Case,19,13
