,Quarter,Tm,Detail,BUF,NYJ
0,2.0,Jets,Dwayne Crutchfield 1 yard rush (Pat Leahy kick),0,7
1,2.0,Jets,Johnny Lynn 42 yard interception return (Pat Leahy kick),0,14
2,3.0,Bills,Mike Mosley 10 yard pass from Joe Ferguson (Joe Danelo kick),7,14
3,3.0,Bills,Byron Franklin 19 yard pass from Joe Ferguson (Joe Danelo kick),14,14
4,3.0,Jets,Pat Leahy 48 yard field goal,14,17
5,4.0,Bills,Joe Danelo 30 yard field goal,17,17
6,4.0,Bills,Joe Cribbs 33 yard pass from Joe Ferguson (Joe Danelo kick),24,17
