,Quarter,Tm,Detail,RAM,ATL
0,1.0,Rams,Jim Bertelsen 3 yard rush,6,0
1,2.0,Rams,Jack Snow 44 yard pass from James Harris (David Ray kick),13,0
2,2.0,Falcons,Vince Kendrick 2 yard pass from Pat Sullivan (Nick Mike-Mayer kick),13,7
3,3.0,Rams,Dave Elmendorf 57 yard interception return (David Ray kick),20,7
4,3.0,Rams,Jim Bertelsen 4 yard rush (David Ray kick),27,7
5,3.0,Rams,David Ray 23 yard field goal,30,7
