,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Alvin Moore 1 yard rush (Eddie Murray kick),0,7
1,1.0,Lions,Alvin Moore 1 yard rush (Eddie Murray kick),0,14
2,2.0,Packers,Al Del Greco 38 yard field goal,3,14
3,2.0,Packers,Al Del Greco 29 yard field goal,6,14
4,2.0,Lions,Eddie Murray 19 yard field goal,6,17
5,3.0,Packers,Gary Ellerson 37 yard rush (Al Del Greco kick),13,17
6,4.0,Packers,Al Del Greco 25 yard field goal,16,17
7,4.0,Packers,Mike Douglass 80 yard interception return (Al Del Greco kick),23,17
8,4.0,Lions,Leonard Thompson 30 yard pass from Joe Ferguson,23,23
9,4.0,Packers,Al Del Greco 27 yard field goal,26,23
