,Quarter,Tm,Detail,WAS,PHI
0,2.0,Eagles,"Safety, Schroeder called for intentional grounding in end zone",0,2
1,2.0,Eagles,Paul McFadden 44 yard field goal,0,5
2,2.0,Redskins,Mark Moseley 32 yard field goal,3,5
3,3.0,Eagles,Earnest Jackson 1 yard rush (Paul McFadden kick),3,12
4,3.0,Redskins,George Rogers 28 yard rush (Mark Moseley kick),10,12
5,4.0,Redskins,Gary Clark 5 yard pass from Jay Schroeder (Mark Moseley kick),17,12
