,Quarter,Tm,Detail,CHI,PHI
0,1.0,Bears,Les McDonald 10 yard pass from Ray Buivid (Jack Manders kick),7,0
1,2.0,Bears,Fred Dreher 32 yard pass from Ray Buivid (Jack Manders kick),14,0
2,2.0,Bears,Joe Zeller 23 yard interception return (Jack Manders kick),21,0
3,3.0,Bears,George Corbett 52 yard interception return (Les McDonald kick),28,0
4,4.0,Eagles,Joe Carter unknown yard pass from Dave Smukler,28,6
