,Quarter,Tm,Detail,PIT,DAL
0,1.0,Steelers,Dick Hoak 3 yard rush (Mike Clark kick),7,0
1,1.0,Cowboys,Frank Clarke 1 yard pass from Don Meredith (Danny Villanueva kick),7,7
2,2.0,Cowboys,Danny Villanueva 33 yard field goal,7,10
3,3.0,Steelers,Mike Clark 32 yard field goal,10,10
4,3.0,Steelers,Lee Folkins 18 yard special teams fumble return (Mike Clark kick),17,10
5,4.0,Cowboys,Dan Reeves 2 yard rush (Danny Villanueva kick),17,17
6,4.0,Cowboys,Bob Hayes 28 yard pass from Don Meredith (Danny Villanueva kick),17,24
