,Quarter,Tm,Detail,PHI,CIN
0,1.0,Bengals,Pete Johnson 15 yard pass from Ken Anderson (Chris Bahr kick),0,7
1,1.0,Bengals,Chris Bahr 24 yard field goal,0,10
2,1.0,Eagles,Tony Franklin 50 yard field goal,3,10
3,1.0,Bengals,Archie Griffin 4 yard pass from Ken Anderson (Chris Bahr kick),3,17
4,2.0,Bengals,Ken Anderson 6 yard rush (Chris Bahr kick),3,24
5,3.0,Eagles,Tony Franklin 39 yard field goal,6,24
6,3.0,Bengals,Chris Bahr 24 yard field goal,6,27
7,3.0,Bengals,Pete Johnson 1 yard rush (Chris Bahr kick),6,34
8,4.0,Bengals,Chris Bahr 43 yard field goal,6,37
9,4.0,Eagles,Harold Carmichael 8 yard pass from John Walton (Tony Franklin kick),13,37
