,Quarter,Time,Tm,Detail,DEN,NYJ
0,1,,Jets,Mo Lewis 67 yard interception return (Nick Lowery kick),0,7
1,2,,Broncos,Anthony Miller 40 yard pass from John Elway (Jason Elam kick),7,7
2,2,,Broncos,Jason Elam 42 yard field goal,10,7
3,2,,Jets,Fred Baxter 1 yard pass from Boomer Esiason (Nick Lowery kick),10,14
4,2,,Broncos,Jason Elam 21 yard field goal,13,14
5,3,,Broncos,Leonard Russell 3 yard rush (pass failed),19,14
6,4,,Jets,Rob Moore 35 yard pass from Boomer Esiason (Rob Moore pass from Boomer Esiason),19,22
7,4,,Broncos,Jason Elam 29 yard field goal,22,22
8,OT,,Jets,Nick Lowery 39 yard field goal,22,25
