,Quarter,Time,Tm,Detail,NOR,WAS
0,2.0,14:56,Saints,Aaron Brooks 7 yard rush (John Carney kick),7,0
1,2.0,3:48,Redskins,Rock Cartwright 2 yard rush (John Hall kick),7,7
2,2.0,2:24,Saints,John Carney 25 yard field goal,10,7
3,2.0,2:10,Redskins,Chad Morton 94 yard kickoff return (John Hall kick),10,14
4,3.0,5:55,Redskins,John Hall 45 yard field goal,10,17
5,3.0,0:38,Saints,Aaron Brooks 3 yard rush (John Carney kick),17,17
6,4.0,12:53,Redskins,John Hall 49 yard field goal,17,20
7,4.0,9:38,Saints,Boo Williams 15 yard pass from Aaron Brooks (John Carney kick),24,20
