,Quarter,Tm,Detail,MIN,BAL
0,1.0,Colts,Jim Martin 15 yard field goal,0,3
1,2.0,Colts,Raymond Berry 24 yard pass from Johnny Unitas (Jim Martin kick),0,10
2,2.0,Colts,John Mackey 61 yard pass from Johnny Unitas (Jim Martin kick),0,17
3,2.0,Colts,Lenny Lyles 36 yard interception return (Jim Martin kick),0,24
4,2.0,Vikings,Jim Boylan 18 yard pass from Fran Tarkenton (Fred Cox kick),7,24
5,3.0,Colts,Jim Martin 11 yard field goal,7,27
6,3.0,Vikings,Fred Cox 36 yard field goal,10,27
7,3.0,Colts,John Mackey 27 yard pass from Johnny Unitas (Jim Martin kick),10,34
8,4.0,Colts,Tom Matte 1 yard rush (Jim Martin kick),10,41
