,Quarter,Tm,Detail,DET,BKN
0,3.0,Dodgers,Pug Manders 35 yard pass from Ace Parker (Merl Condit kick),0,7
1,4.0,Dodgers,Ed Rucinski 19 yard pass from Bill Leckonby (Dean McAdams kick),0,14
2,4.0,Lions,Ned Mathews 42 yard interception return (Chuck Hanneman kick),7,14
