,Quarter,Time,Tm,Detail,DET,SEA
0,2.0,10:56,Seahawks,Doug Baldwin 24 yard pass from Russell Wilson (Stephen Hauschka kick),0,7
1,2.0,5:16,Lions,Matt Prater 41 yard field goal,3,7
2,2.0,1:00,Seahawks,Stephen Hauschka 51 yard field goal,3,10
3,3.0,11:11,Seahawks,Stephen Hauschka 52 yard field goal,3,13
4,4.0,8:32,Lions,Caraun Reid 27 yard defensive fumble return (Matt Prater kick),10,13
