,Quarter,Tm,Detail,RAI,SDG
0,1.0,Chargers,Earnest Jackson 5 yard rush (Benny Ricardo kick),0,7
1,1.0,Raiders,Marcus Allen 10 yard pass from Marc Wilson (Chris Bahr kick),7,7
2,2.0,Chargers,Wes Chandler 22 yard pass from Dan Fouts,7,13
3,2.0,Chargers,Earnest Jackson 32 yard rush (Benny Ricardo kick),7,20
4,2.0,Raiders,Malcolm Barnwell 45 yard pass from Marc Wilson (Chris Bahr kick),14,20
5,3.0,Raiders,Chris Bahr 42 yard field goal,17,20
6,3.0,Raiders,Derrick Jensen 1 yard pass from Marc Wilson (Chris Bahr kick),24,20
7,3.0,Raiders,Chris Bahr 33 yard field goal,27,20
8,3.0,Raiders,Dokie Williams 20 yard pass from Marc Wilson (Chris Bahr kick),34,20
9,4.0,Chargers,Benny Ricardo 29 yard field goal,34,23
10,4.0,Raiders,Malcolm Barnwell 51 yard pass from Marc Wilson (Chris Bahr kick),41,23
11,4.0,Chargers,Kellen Winslow 5 yard pass from Dan Fouts (Benny Ricardo kick),41,30
12,4.0,Raiders,Chris Bahr 32 yard field goal,44,30
13,4.0,Chargers,Bobby Duckworth 50 yard pass from Dan Fouts (Benny Ricardo kick),44,37
