,Quarter,Time,Tm,Detail,DAL,ARI
0,1.0,0:37,Cowboys,Mike Vanderjagt 28 yard field goal,3,0
1,2.0,8:33,Cowboys,Patrick Crayton 30 yard pass from Tony Romo (Mike Vanderjagt kick),10,0
2,2.0,3:31,Cardinals,Neil Rackers 28 yard field goal,10,3
3,2.0,0:00,Cowboys,Mike Vanderjagt 38 yard field goal,13,3
4,3.0,5:15,Cowboys,Terrell Owens 51 yard pass from Tony Romo (Mike Vanderjagt kick),20,3
5,4.0,14:17,Cowboys,Marion Barber III 5 yard rush (Mike Vanderjagt kick),27,3
6,4.0,11:53,Cardinals,Matt Leinart 3 yard rush (Neil Rackers kick),27,10
