,Quarter,Tm,Detail,MIN,CHI
0,1.0,Bears,Walter Payton 39 yard rush (Bob Thomas kick),0,7
1,2.0,Vikings,Fred Cox 24 yard field goal,3,7
2,3.0,Vikings,Fred Cox 24 yard field goal,6,7
3,4.0,Bears,Johnny Musso 3 yard rush (Bob Thomas kick),6,14
4,4.0,Vikings,Fran Tarkenton 2 yard rush (Fred Cox kick),13,14
