,Quarter,Tm,Detail,RAM,ATL
0,1.0,Falcons,Deion Sanders 68 yard punt return (Paul McFadden kick),0,7
1,1.0,Rams,Mike Lansford 23 yard field goal,3,7
2,2.0,Rams,Greg Bell 2 yard rush (Mike Lansford kick),10,7
3,2.0,Falcons,Floyd Dixon 53 yard pass from Chris Miller (Paul McFadden kick),10,14
4,2.0,Rams,Henry Ellard 46 yard pass from Jim Everett (Mike Lansford kick),17,14
5,3.0,Rams,Jim Everett 13 yard rush (Mike Lansford kick),24,14
6,4.0,Rams,Greg Bell 8 yard rush (Mike Lansford kick),31,14
7,4.0,Falcons,Michael Haynes 33 yard pass from Chris Miller (Paul McFadden kick),31,21
