,Quarter,Tm,Detail,SIS,GNB
0,1.0,Packers,Roger Grove 34 yard pass from Arnie Herber,0,6
1,3.0,Packers,Arnie Herber 85 yard interception return (Roger Grove kick),0,13
2,3.0,Packers,Roger Grove unknown yard pass from Arnie Herber (Roger Grove kick),0,20
3,4.0,Packers,Hank Bruder unknown yard rush,0,26
