,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Jets,Emerson Boozer 2 yard rush (Bobby Howfield kick),0,7
1,1.0,Jets,Rich Caster 11 yard pass from Bob Davis (Bobby Howfield kick),0,14
2,2.0,Bills,Marlin Briscoe 12 yard pass from Dennis Shaw (Grant Guthrie kick),7,14
3,3.0,Bills,Grant Guthrie 51 yard field goal,10,14
4,3.0,Jets,Cliff McClain 1 yard rush (Bobby Howfield kick),10,21
5,3.0,Bills,O.J. Simpson 3 yard rush (Grant Guthrie kick),17,21
6,4.0,Jets,John Riggins 32 yard pass from Bob Davis (Bobby Howfield kick),17,28
