,Quarter,Time,Tm,Detail,BAL,JAX
0,1.0,6:23,Ravens,Matt Stover 41 yard field goal,3,0
1,2.0,13:43,Ravens,Jason Brookins 2 yard rush (Matt Stover kick),10,0
2,3.0,11:07,Ravens,Jason Brookins 1 yard rush (Matt Stover kick),17,0
3,3.0,1:44,Jaguars,Stacey Mack 4 yard rush (Mike Hollis kick),17,7
4,4.0,8:16,Jaguars,Jimmy Smith 12 yard pass from Mark Brunell (Mike Hollis kick),17,14
5,4.0,1:32,Jaguars,Stacey Mack 3 yard rush (Mike Hollis kick),17,21
6,4.0,0:09,Ravens,Shannon Sharpe 3 yard pass from Elvis Grbac (Matt Stover kick),24,21
