,Quarter,Tm,Detail,CIN,HOU
0,2.0,Bengals,James Brooks 58 yard rush (Jim Breech kick),7,0
1,2.0,Oilers,Eugene Seale special teams fumble recovery in end zone (Tony Zendejas kick),7,7
2,2.0,Bengals,Craig Taylor 1 yard rush (Jim Breech kick),14,7
3,3.0,Oilers,Tony Zendejas 32 yard field goal,14,10
4,3.0,Oilers,Tony Zendejas 42 yard field goal,14,13
5,4.0,Oilers,Tony Zendejas 47 yard field goal,14,16
6,4.0,Bengals,Rodney Holman 73 yard pass from Boomer Esiason (Jim Breech kick),21,16
7,4.0,Oilers,Leonard Harris 23 yard pass from Warren Moon (Tony Zendejas kick),21,23
8,4.0,Bengals,Jim Breech 38 yard field goal,24,23
9,4.0,Oilers,Tony Zendejas 28 yard field goal,24,26
