,Quarter,Tm,Detail,CHI,SFO
0,2.0,49ers,Steve Mike-Mayer 23 yard field goal,0,3
1,2.0,Bears,Bob Thomas 33 yard field goal,3,3
2,2.0,49ers,Gene Washington 18 yard pass from Steve Spurrier (Steve Mike-Mayer kick),3,10
3,4.0,49ers,Larry Schreiber 3 yard rush (Steve Mike-Mayer kick),3,17
4,4.0,49ers,Tommy Hart 10 yard defensive fumble return (Steve Mike-Mayer kick),3,24
5,4.0,49ers,Sammy Johnson 1 yard rush (Steve Mike-Mayer kick),3,31
