,Quarter,Time,Tm,Detail,SDG,OAK
0,1.0,,Chargers,Greg Davis 30 yard field goal,3,0
1,1.0,,Chargers,Greg Davis 22 yard field goal,6,0
2,2.0,,Chargers,Greg Davis 38 yard field goal,9,0
3,2.0,,Raiders,Cole Ford 24 yard field goal,9,3
4,3.0,,Chargers,Greg Davis 43 yard field goal,12,3
5,3.0,,Raiders,Napoleon Kaufman 70 yard pass from Jeff George (Cole Ford kick),12,10
6,3.0,,Chargers,Gary Brown 1 yard rush (Greg Davis kick),19,10
7,4.0,,Chargers,Greg Davis 33 yard field goal,22,10
8,4.0,,Chargers,Greg Davis 33 yard field goal,25,10
