,Quarter,Tm,Detail,DAL,NYG
0,1.0,Cowboys,Bob Hayes 46 yard pass from Roger Staubach (Mike Clark kick),7,0
1,1.0,Cowboys,Duane Thomas 3 yard rush (Mike Clark kick),14,0
2,2.0,Cowboys,Calvin Hill 10 yard pass from Roger Staubach (Mike Clark kick),21,0
3,2.0,Cowboys,Bob Hayes 85 yard pass from Roger Staubach (Mike Clark kick),28,0
4,2.0,Giants,Don Herrmann 6 yard pass from Fran Tarkenton (Pete Gogolak kick),28,7
5,3.0,Cowboys,Duane Thomas 7 yard rush (Mike Clark kick),35,7
6,3.0,Cowboys,Calvin Hill 4 yard rush (Mike Clark kick),42,7
7,4.0,Giants,Pete Athas 37 yard interception return (Pete Gogolak kick),42,14
