,Quarter,Tm,Detail,IND,NYJ
0,1.0,Colts,Dean Biasucci 36 yard field goal,3,0
1,2.0,Colts,Matt Bouza 44 yard pass from Jack Trudeau (Dean Biasucci kick),10,0
2,2.0,Jets,Johnny Hector 12 yard rush (Pat Leahy kick),10,7
3,3.0,Colts,Dean Biasucci 44 yard field goal,13,7
4,4.0,Colts,Dean Biasucci 38 yard field goal,16,7
5,4.0,Colts,Dean Biasucci 33 yard field goal,19,7
6,4.0,Jets,Johnny Hector 20 yard rush (Pat Leahy kick),19,14
