,Quarter,Time,Tm,Detail,PIT,JAX
0,1.0,12:49,Jaguars,Rashean Mathis 72 yard interception return (Josh Scobee kick),0,7
1,1.0,5:18,Steelers,Heath Miller 1 yard pass from Ben Roethlisberger (Jeff Reed kick),7,7
2,1.0,2:27,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),7,14
3,2.0,12:38,Steelers,Jeff Reed 38 yard field goal,10,14
4,2.0,9:20,Steelers,Nate Washington 48 yard pass from Ben Roethlisberger (Jeff Reed kick),17,14
5,2.0,0:45,Steelers,Jeff Reed 23 yard field goal,20,14
6,4.0,14:05,Jaguars,Marcedes Lewis 24 yard pass from David Garrard (Josh Scobee kick),20,21
7,4.0,1:53,Steelers,Hines Ward 8 yard pass from Ben Roethlisberger (pass failed),26,21
